H,accuracy,f1
1,0.700617284,0
1,0.299382716,0.460807601
1,0.700617284,0
2,0.299382716,0.460807601
2,0.3086419753,0.4536585366
2,0.700617284,0
4,0.7777777778,0.6043956044
4,0.700617284,0
4,0.7808641975,0.5644171779
8,0.8333333333,0.7272727273
8,0.737654321,0.4785276074
8,0.8117283951,0.6871794872
16,0.8148148148,0.693877551
16,0.8240740741,0.6779661017
16,0.774691358,0.5921787709
32,0.8148148148,0.693877551
32,0.8364197531,0.6971428571
32,0.8055555556,0.6701570681
64,0.8240740741,0.6885245902
64,0.8333333333,0.7065217391
64,0.8333333333,0.7127659574
128,0.8055555556,0.6086956522
128,0.8148148148,0.6296296296
128,0.8086419753,0.6868686869
